account,product,contract,direction,qty,entry_price,entry_time,exit_price,exit_time,pnl,source
APEX-484839-10,M2K,M2KU6,Long,5.0,3050.4,2026-08-18T09:24:52,3026.0,2026-08-18T16:59:00,-610.0,Orders-82.csv
APEX-484839-10,MES,MESU6,Long,3.0,7724.0,2026-08-18T09:30:17,7713.0,2026-08-18T16:59:00,-165.0,Orders-82.csv
APEX-484839-10,MCL,MCLV6,Short,2.0,84.31,2026-08-18T04:19:31,84.42,2026-08-18T16:59:00,-22.0,Orders-82.csv
APEX-484839-10,M2K,M2KU6,Long,4.0,3027.8,2026-08-19T03:25:33,3025.9,2026-08-19T05:01:05,-38.0,Orders-83.csv
APEX-484839-10,MCL,MCLV6,Short,2.0,84.47,2026-08-19T03:33:22,85.14,2026-08-19T05:01:05,-134.0,Orders-83.csv
BTCC,SOLUSDT,SOLUSDT,Short,5.0,,,78.74,2026-08-19T22:38:59,15.95,BTCC-Derivatives-TransactionHistory-20260626-20260829.csv
TAKEPROFIT917806711,M2K,M2KU6,Short,3.0,3021.4,2026-08-21T16:06:44,3020.6,2026-08-21T16:55:04,12.0,Orders-84_TPT917806711.csv
TOF189562,M2K,M2KU6,Short,4.0,3021.8,2026-08-21T20:07:21,3022.1,2026-08-21T20:09:56,-6.0,Orders-102_TOF189562-Trade-History_parsed Orders-100 by Claude.csv
TOF189563,M2K,M2KU6,Short,2.0,3025.0,2026-08-24T03:23:31,3024.5,2026-08-24T03:26:02,5.0,Orders-103_TOF189563-Trade-History_parsed Orders-101 by Claude.csv
TOF189562,M2K,M2KU6,Short,1.0,3024.5,2026-08-24T03:26:27,3021.3,2026-08-24T04:24:48,16.0,Orders-102_TOF189562-Trade-History_parsed Orders-100 by Claude.csv
TOF189563,M2K,M2KU6,Short,1.0,3024.5,2026-08-24T03:26:27,3021.3,2026-08-24T04:24:48,16.0,Orders-103_TOF189563-Trade-History_parsed Orders-101 by Claude.csv
TOF189562,M2K,M2KU6,Short,1.0,3024.5,2026-08-24T03:26:27,3021.3,2026-08-24T04:27:21,16.0,Orders-102_TOF189562-Trade-History_parsed Orders-100 by Claude.csv
